product_id,category,base_price,base_weight,launch_date
P001,Electronics,14400.0,1.9,2025-05-01
P002,Electronics,15120.000000000002,1.8,2025-05-01
P003,Electronics,15840.0,1.7000000000000002,2025-05-01
P004,Electronics,16560.0,1.6,2025-05-01
P005,Electronics,17280.0,1.5,2025-05-01
P006,Electronics,18000.0,1.4,2025-05-01
P007,Electronics,18720.0,1.3,2025-05-01
P008,Electronics,19440.0,1.2,2025-05-01
P009,Electronics,20160.000000000004,1.1,2025-05-01
P010,Electronics,20880.000000000004,1.0,2025-05-01
P011,Home,4160.0,1.9,2025-05-01
P012,Home,4368.0,1.8,2025-05-01
P013,Home,4576.0,1.7000000000000002,2025-05-01
P014,Home,4784.0,1.6,2025-05-01
P015,Home,4992.0,1.5,2025-05-01
P016,Home,5200.0,1.4,2025-05-01
P017,Home,5408.0,1.3,2025-05-01
P018,Home,5616.0,1.2,2025-05-01
P019,Home,5824.000000000001,1.1,2025-05-01
P020,Home,6032.000000000001,1.0,2026-08-01
P021,Beauty,1680.0,1.9,2025-05-01
P022,Beauty,1764.0000000000002,1.8,2025-05-01
P023,Beauty,1848.0,1.7000000000000002,2025-05-01
P024,Beauty,1932.0,1.6,2025-05-01
P025,Beauty,2016.0000000000002,1.5,2025-05-01
P026,Beauty,2100.0,1.4,2025-05-01
P027,Beauty,2184.0,1.3,2025-05-01
P028,Beauty,2268.0,1.2,2025-05-01
P029,Beauty,2352.0,1.1,2025-05-01
P030,Beauty,2436.0000000000005,1.0,2025-05-01
P031,Grocery,760.0,1.9,2025-05-01
P032,Grocery,798.0000000000001,1.8,2025-05-01
P033,Grocery,836.0,1.7000000000000002,2025-05-01
P034,Grocery,874.0,1.6,2025-05-01
P035,Grocery,912.0000000000001,1.5,2025-05-01
P036,Grocery,950.0,1.4,2025-05-01
P037,Grocery,988.0,1.3,2025-05-01
P038,Grocery,1026.0,1.2,2025-05-01
P039,Grocery,1064.0,1.1,2025-05-01
P040,Grocery,1102.0000000000002,1.0,2025-05-01
P041,Fashion,2720.0,1.9,2025-05-01
P042,Fashion,2856.0000000000005,1.8,2025-05-01
P043,Fashion,2992.0,1.7000000000000002,2025-05-01
P044,Fashion,3128.0,1.6,2025-05-01
P045,Fashion,3264.0000000000005,1.5,2025-05-01
P046,Fashion,3400.0,1.4,2025-05-01
P047,Fashion,3536.0,1.3,2025-05-01
P048,Fashion,3672.0000000000005,1.2,2025-05-01
P049,Fashion,3808.0000000000005,1.1,2025-05-01
P050,Fashion,3944.0000000000005,1.0,2025-05-01
P051,Sports,3600.0,1.9,2025-05-01
P052,Sports,3780.0000000000005,1.8,2025-05-01
P053,Sports,3960.0,1.7000000000000002,2025-05-01
P054,Sports,4140.0,1.6,2025-05-01
P055,Sports,4320.0,1.5,2025-05-01
P056,Sports,4500.0,1.4,2025-05-01
P057,Sports,4680.0,1.3,2025-05-01
P058,Sports,4860.0,1.2,2025-05-01
P059,Sports,5040.000000000001,1.1,2025-05-01
P060,Sports,5220.000000000001,1.0,2025-05-01
