date,campaign_id,region,channel,impressions,clicks,sessions,checkout_starts,checkout_completes,conversions,spend,updated_at
2025-05-01,AlwaysOn_North_Web,North,Web,6778,425,283,30.15,11.76,11.76,4972.86,2025-05-01 23:59:59
2025-05-01,Performance_North_Web,North,Web,4908,308,205,21.84,8.52,8.52,3601.04,2025-05-01 23:59:59
2025-05-01,AlwaysOn_North_App,North,App,5285,358,230,24.0,9.36,9.36,4280.35,2025-05-01 23:59:59
2025-05-01,Performance_North_App,North,App,3827,259,167,17.38,6.78,6.78,3099.56,2025-05-01 23:59:59
2025-05-01,AlwaysOn_North_Marketplace,North,Marketplace,5016,338,208,21.86,8.52,8.52,3991.85,2025-05-01 23:59:59
2025-05-01,Performance_North_Marketplace,North,Marketplace,3632,244,151,15.83,6.17,6.17,2890.65,2025-05-01 23:59:59
2025-05-01,AlwaysOn_South_Web,South,Web,5642,377,236,24.36,9.5,9.5,4449.48,2025-05-01 23:59:59
2025-05-01,Performance_South_Web,South,Web,4085,273,171,17.64,6.88,6.88,3222.03,2025-05-01 23:59:59
2025-05-01,AlwaysOn_South_App,South,App,4755,329,208,22.36,8.72,8.72,3723.04,2025-05-01 23:59:59
2025-05-01,Performance_South_App,South,App,3443,238,151,16.19,6.32,6.32,2696.0,2025-05-01 23:59:59
2025-05-01,AlwaysOn_South_Marketplace,South,Marketplace,4056,281,173,18.32,7.14,7.14,3287.75,2025-05-01 23:59:59
2025-05-01,Performance_South_Marketplace,South,Marketplace,2937,203,125,13.26,5.17,5.17,2380.79,2025-05-01 23:59:59
2025-05-01,AlwaysOn_East_Web,East,Web,4764,350,215,22.33,8.71,8.71,3893.87,2025-05-01 23:59:59
2025-05-01,Performance_East_Web,East,Web,3450,254,155,16.17,6.31,6.31,2819.7,2025-05-01 23:59:59
2025-05-01,AlwaysOn_East_App,East,App,3960,292,179,18.45,7.2,7.2,3285.32,2025-05-01 23:59:59
2025-05-01,Performance_East_App,East,App,2868,211,129,13.36,5.21,5.21,2379.02,2025-05-01 23:59:59
2025-05-01,AlwaysOn_East_Marketplace,East,Marketplace,3428,237,148,15.3,5.97,5.97,2802.05,2025-05-01 23:59:59
2025-05-01,Performance_East_Marketplace,East,Marketplace,2482,172,107,11.08,4.32,4.32,2029.07,2025-05-01 23:59:59
2025-05-01,AlwaysOn_West_Web,West,Web,6277,425,265,27.95,10.9,10.9,5112.3,2025-05-01 23:59:59
2025-05-01,Performance_West_Web,West,Web,4546,308,192,20.24,7.89,7.89,3702.01,2025-05-01 23:59:59
2025-05-01,AlwaysOn_West_App,West,App,5183,360,229,23.33,9.1,9.1,4357.94,2025-05-01 23:59:59
2025-05-01,Performance_West_App,West,App,3754,261,165,16.9,6.59,6.59,3155.75,2025-05-01 23:59:59
2025-05-01,AlwaysOn_West_Marketplace,West,Marketplace,4099,305,185,20.0,7.8,7.8,3380.12,2025-05-01 23:59:59
2025-05-01,Performance_West_Marketplace,West,Marketplace,2968,221,134,14.48,5.65,5.65,2447.67,2025-05-01 23:59:59
2025-05-02,AlwaysOn_North_Web,North,Web,6220,431,264,27.77,10.83,10.83,4798.88,2025-05-02 23:59:59
2025-05-02,Performance_North_Web,North,Web,4504,312,191,20.11,7.84,7.84,3475.05,2025-05-02 23:59:59
2025-05-02,AlwaysOn_North_App,North,App,5909,394,248,25.78,10.05,10.05,4504.02,2025-05-02 23:59:59
2025-05-02,Performance_North_App,North,App,4279,285,179,18.67,7.28,7.28,3261.53,2025-05-02 23:59:59
2025-05-02,AlwaysOn_North_Marketplace,North,Marketplace,4529,310,193,19.88,7.75,7.75,3369.03,2025-05-02 23:59:59
2025-05-02,Performance_North_Marketplace,North,Marketplace,3279,224,140,14.4,5.62,5.62,2439.64,2025-05-02 23:59:59
2025-05-02,AlwaysOn_South_Web,South,Web,5896,395,250,26.28,10.25,10.25,4520.53,2025-05-02 23:59:59
2025-05-02,Performance_South_Web,South,Web,4269,286,181,19.03,7.42,7.42,3273.48,2025-05-02 23:59:59
2025-05-02,AlwaysOn_South_App,South,App,4815,328,213,22.2,8.66,8.66,3811.64,2025-05-02 23:59:59
2025-05-02,Performance_South_App,South,App,3487,237,154,16.08,6.27,6.27,2760.15,2025-05-02 23:59:59
2025-05-02,AlwaysOn_South_Marketplace,South,Marketplace,4189,289,178,18.74,7.31,7.31,3225.37,2025-05-02 23:59:59
2025-05-02,Performance_South_Marketplace,South,Marketplace,3034,210,129,13.57,5.29,5.29,2335.62,2025-05-02 23:59:59
2025-05-02,AlwaysOn_East_Web,East,Web,4686,310,204,21.29,8.3,8.3,3764.15,2025-05-02 23:59:59
2025-05-02,Performance_East_Web,East,Web,3393,224,148,15.42,6.01,6.01,2725.76,2025-05-02 23:59:59
2025-05-02,AlwaysOn_East_App,East,App,3817,254,163,16.8,6.55,6.55,2823.54,2025-05-02 23:59:59
2025-05-02,Performance_East_App,East,App,2764,184,118,12.17,4.75,4.75,2044.63,2025-05-02 23:59:59
2025-05-02,AlwaysOn_East_Marketplace,East,Marketplace,3369,220,142,14.8,5.77,5.77,2792.01,2025-05-02 23:59:59
