order_id,line_id,order_ts,date,region,channel,product_id,category,quantity,unit_price,discount_pct,return_flag,return_value,returns_value,cogs,net_revenue
O00000001,O00000001_1,2025-05-01 01:26:00,2025-05-01,East,App,P060,Sports,1,5131.92,0.0543,0,0.0,0.0,3086.98,4853.26
O00000002,O00000002_1,2025-05-01 15:03:00,2025-05-01,East,App,P007,Electronics,1,18501.69,0.031,0,0.0,0.0,11368.17,17928.14
O00000003,O00000003_1,2025-05-01 23:52:00,2025-05-01,East,App,P026,Beauty,1,2041.01,0.0108,0,0.0,0.0,1341.25,2018.97
O00000004,O00000004_1,2025-05-01 11:29:00,2025-05-01,East,App,P051,Sports,1,3583.85,0.0129,0,0.0,0.0,2397.77,3537.62
O00000005,O00000005_1,2025-05-01 05:06:00,2025-05-01,East,App,P054,Sports,1,4265.93,0.0347,0,0.0,0.0,2704.27,4117.9
O00000006,O00000006_1,2025-05-01 10:40:00,2025-05-01,East,App,P058,Sports,1,4891.79,0.0044,0,0.0,0.0,3174.13,4870.27
O00000007,O00000007_1,2025-05-01 08:09:00,2025-05-01,East,App,P058,Sports,1,4876.32,0.0285,0,0.0,0.0,3161.53,4737.34
O00000008,O00000008_1,2025-05-01 23:13:00,2025-05-01,East,App,P019,Home,1,5903.41,0.0291,0,0.0,0.0,3777.71,5731.62
O00000009,O00000009_1,2025-05-01 04:53:00,2025-05-01,East,App,P057,Sports,1,4835.09,0.0097,0,0.0,0.0,3308.44,4788.19
O00000010,O00000010_1,2025-05-01 23:44:00,2025-05-01,East,App,P035,Grocery,2,906.78,0.0426,0,0.0,0.0,1191.81,1736.3
O00000011,O00000011_1,2025-05-01 23:55:00,2025-05-01,East,App,P008,Electronics,1,20024.35,0.0352,0,0.0,0.0,12569.36,19319.49
O00000012,O00000012_1,2025-05-01 21:49:00,2025-05-01,East,App,P050,Fashion,1,3982.46,0.0211,0,0.0,0.0,2580.75,3898.43
O00000013,O00000013_1,2025-05-01 14:25:00,2025-05-01,East,App,P052,Sports,3,3859.98,0.0246,0,0.0,0.0,7213.01,11295.07
O00000014,O00000014_1,2025-05-01 09:34:00,2025-05-01,East,Marketplace,P034,Grocery,1,895.84,0.002,0,0.0,0.0,595.3,894.05
O00000015,O00000015_1,2025-05-01 19:44:00,2025-05-01,East,Marketplace,P032,Grocery,2,805.05,0.019,0,0.0,0.0,990.33,1579.51
O00000016,O00000016_1,2025-05-01 18:48:00,2025-05-01,East,Marketplace,P048,Fashion,1,3596.47,0.0364,0,0.0,0.0,2458.95,3465.56
O00000017,O00000017_1,2025-05-01 02:31:00,2025-05-01,East,Marketplace,P042,Fashion,1,2847.21,0.0258,0,0.0,0.0,1805.45,2773.75
O00000018,O00000018_1,2025-05-01 15:27:00,2025-05-01,East,Marketplace,P017,Home,2,5535.41,0.0451,0,0.0,0.0,6975.85,10571.53
O00000019,O00000019_1,2025-05-01 00:58:00,2025-05-01,East,Marketplace,P016,Home,1,5115.67,0.0107,0,0.0,0.0,3363.76,5060.93
O00000020,O00000020_1,2025-05-01 18:58:00,2025-05-01,East,Marketplace,P041,Fashion,3,2686.24,0.0324,0,0.0,0.0,5304.79,7797.62
O00000021,O00000021_1,2025-05-01 12:06:00,2025-05-01,East,Marketplace,P053,Sports,3,4049.62,0.041,0,0.0,0.0,7297.95,11650.76
O00000022,O00000022_1,2025-05-01 16:28:00,2025-05-01,East,Marketplace,P054,Sports,3,4204.21,0.0452,0,0.0,0.0,8144.08,12042.54
O00000023,O00000023_1,2025-05-01 04:49:00,2025-05-01,East,Marketplace,P051,Sports,2,3532.48,0.0205,0,0.0,0.0,4590.56,6920.13
O00000024,O00000024_1,2025-05-01 20:42:00,2025-05-01,East,Marketplace,P027,Beauty,2,2105.67,0.0284,0,0.0,0.0,3038.84,4091.74
O00000025,O00000025_1,2025-05-01 07:51:00,2025-05-01,East,Web,P042,Fashion,1,2829.2,0.014,0,0.0,0.0,1839.32,2789.59
O00000026,O00000026_1,2025-05-01 23:30:00,2025-05-01,East,Web,P012,Home,1,4416.52,0.0338,0,0.0,0.0,2952.1,4267.24
O00000027,O00000027_1,2025-05-01 02:27:00,2025-05-01,East,Web,P012,Home,2,4331.84,0.0169,0,0.0,0.0,5450.28,8517.26
O00000028,O00000028_1,2025-05-01 14:13:00,2025-05-01,East,Web,P025,Beauty,2,2061.14,0.0417,0,0.0,0.0,2683.14,3950.38
O00000029,O00000029_1,2025-05-01 19:28:00,2025-05-01,East,Web,P001,Electronics,1,14285.35,0.022,0,0.0,0.0,8994.47,13971.07
O00000030,O00000030_1,2025-05-01 23:39:00,2025-05-01,East,Web,P032,Grocery,3,806.85,0.0232,0,0.0,0.0,1657.15,2364.39
O00000031,O00000031_1,2025-05-01 03:25:00,2025-05-01,East,Web,P049,Fashion,1,3702.78,0.0249,0,0.0,0.0,2471.91,3610.58
O00000032,O00000032_1,2025-05-01 15:39:00,2025-05-01,East,Web,P015,Home,2,5132.53,0.0316,0,0.0,0.0,6319.09,9940.68
O00000033,O00000033_1,2025-05-01 07:49:00,2025-05-01,East,Web,P029,Beauty,1,2369.35,0.0188,0,0.0,0.0,1589.51,2324.81
O00000034,O00000034_1,2025-05-01 13:35:00,2025-05-01,East,Web,P048,Fashion,1,3613.25,0.0146,0,0.0,0.0,2266.01,3560.5
O00000035,O00000035_1,2025-05-01 08:45:00,2025-05-01,East,Web,P008,Electronics,1,19206.49,0.0133,0,0.0,0.0,11757.22,18951.04
O00000036,O00000036_1,2025-05-01 08:17:00,2025-05-01,East,Web,P010,Electronics,1,20966.0,0.0254,0,0.0,0.0,12782.07,20433.46
O00000037,O00000037_1,2025-05-01 19:44:00,2025-05-01,East,Web,P041,Fashion,2,2730.12,0.0535,0,0.0,0.0,3486.99,5168.12
O00000038,O00000038_1,2025-05-01 07:04:00,2025-05-01,East,Web,P001,Electronics,2,14511.04,0.0319,0,0.0,0.0,19223.93,28096.28
O00000039,O00000039_1,2025-05-01 15:42:00,2025-05-01,East,Web,P026,Beauty,1,2065.32,0.0221,0,0.0,0.0,1350.78,2019.68
O00000040,O00000040_1,2025-05-01 13:05:00,2025-05-01,North,App,P011,Home,2,4277.6,0.0392,0,0.0,0.0,5420.93,8219.84
O00000041,O00000041_1,2025-05-01 06:46:00,2025-05-01,North,App,P038,Grocery,1,1039.78,0.0,0,0.0,0.0,698.79,1039.78
O00000042,O00000042_1,2025-05-01 05:42:00,2025-05-01,North,App,P016,Home,1,5238.33,0.0319,0,0.0,0.0,3366.31,5071.23
O00000043,O00000043_1,2025-05-01 19:10:00,2025-05-01,North,App,P059,Sports,2,4965.39,0.0281,0,0.0,0.0,6118.71,9651.73
