date,region,product_id,category,revenue,orders,units,avg_unit_price,cogs,gross_margin
2025-05-01,East,P001,Electronics,42067.35,2,3,14398.195,28218.4,0.32920899462409675
2025-05-01,East,P007,Electronics,17928.14,1,1,18501.69,11368.17,0.36590354604549047
2025-05-01,East,P008,Electronics,38270.53,2,2,19615.42,24326.58,0.3643521529490184
2025-05-01,East,P010,Electronics,20433.46,1,1,20966.0,12782.07,0.37445395933924064
2025-05-01,East,P012,Home,12784.5,2,3,4374.18,8402.38,0.34276819586217694
2025-05-01,East,P015,Home,9940.68,1,2,5132.53,6319.09,0.36432014711267235
2025-05-01,East,P016,Home,5060.93,1,1,5115.67,3363.76,0.3353474559023737
2025-05-01,East,P017,Home,10571.53,1,2,5535.41,6975.85,0.34012862849559145
2025-05-01,East,P019,Home,5731.62,1,1,5903.41,3777.71,0.3409001294572913
2025-05-01,East,P025,Beauty,3950.38,1,2,2061.14,2683.14,0.32078939241288185
2025-05-01,East,P026,Beauty,4038.65,2,2,2053.165,2692.0299999999997,0.3334332016886832
2025-05-01,East,P027,Beauty,4091.74,1,2,2105.67,3038.84,0.25732329033614054
2025-05-01,East,P029,Beauty,2324.81,1,1,2369.35,1589.51,0.31628391137340256
2025-05-01,East,P032,Grocery,3943.8999999999996,2,5,805.95,2647.48,0.32871523111640755
2025-05-01,East,P034,Grocery,894.05,1,1,895.84,595.3,0.33415357082937197
2025-05-01,East,P035,Grocery,1736.3,1,2,906.78,1191.81,0.3135921211772159
2025-05-01,East,P041,Fashion,12965.74,2,5,2708.18,8791.779999999999,0.3219222350594722
2025-05-01,East,P042,Fashion,5563.34,2,2,2838.205,3644.77,0.3448593830324949
2025-05-01,East,P048,Fashion,7026.0599999999995,2,2,3604.8599999999997,4724.96,0.327509301087665
2025-05-01,East,P049,Fashion,3610.58,1,1,3702.78,2471.91,0.31537038370566506
2025-05-01,East,P050,Fashion,3898.43,1,1,3982.46,2580.75,0.3380027344341183
2025-05-01,East,P051,Sports,10457.75,2,3,3558.165,6988.33,0.3317558748296718
2025-05-01,East,P052,Sports,11295.07,1,3,3859.98,7213.01,0.3614019213692345
2025-05-01,East,P053,Sports,11650.76,1,3,4049.62,7297.95,0.3736073869859134
2025-05-01,East,P054,Sports,16160.44,2,4,4235.07,10848.35,0.32870949058317717
2025-05-01,East,P057,Sports,4788.19,1,1,4835.09,3308.44,0.3090416211553843
2025-05-01,East,P058,Sports,9607.61,2,2,4884.055,6335.66,0.3405581617072301
2025-05-01,East,P060,Sports,4853.26,1,1,5131.92,3086.98,0.3639368177266415
2025-05-01,North,P001,Electronics,14200.12,1,1,14470.72,8947.97,0.3698665926766817
2025-05-01,North,P002,Electronics,29235.1,2,2,15018.595000000001,19171.9,0.3442163700483322
2025-05-01,North,P003,Electronics,31131.09,1,2,15902.68,20190.59,0.3514332456717706
2025-05-01,North,P004,Electronics,31924.67,2,2,16359.58,21805.620000000003,0.3169664713840424
2025-05-01,North,P005,Electronics,50593.31,1,3,17325.29,33666.34,0.3345693333762903
2025-05-01,North,P006,Electronics,17220.69,1,1,17617.07,11001.08,0.3611707777098362
2025-05-01,North,P007,Electronics,0.0,1,1,18810.78,12170.5,
2025-05-01,North,P008,Electronics,36215.62,1,2,18673.62,22304.76,0.38411215933898146
2025-05-01,North,P009,Electronics,40002.71,1,2,20299.76,26982.59,0.32548094866572785
2025-05-01,North,P010,Electronics,61811.97,2,4,21178.89,56088.64,0.09259258360476137
2025-05-01,North,P011,Home,8219.84,1,2,4277.6,5420.93,0.3405066278662358
2025-05-01,North,P012,Home,4267.93,1,1,4438.36,2791.19,0.3460084865496857
2025-05-01,North,P013,Home,9204.71,1,2,4703.48,6363.3,0.3086908767359318
2025-05-01,North,P014,Home,4722.49,1,1,4815.92,3069.0,0.35013096904387303
2025-05-01,North,P015,Home,19048.06,2,4,4940.655000000001,12383.18,0.3498980998589883
2025-05-01,North,P016,Home,5071.23,1,1,5238.33,3366.31,0.3361945721255001
2025-05-01,North,P018,Home,15885.68,1,3,5519.31,10377.65,0.3467292555307674
2025-05-01,North,P019,Home,5868.32,1,1,5956.48,3774.03,0.3568806745371758
2025-05-01,North,P021,Beauty,1644.64,1,1,1672.57,1062.63,0.3538829166261309
2025-05-01,North,P023,Beauty,1787.99,1,1,1852.26,1215.56,0.32015279727515256
2025-05-01,North,P025,Beauty,4001.88,3,4,2037.4666666666665,5228.06,-0.3064009915339791
2025-05-01,North,P028,Beauty,6475.16,2,3,2220.205,4347.38,0.328606551807214
2025-05-01,North,P029,Beauty,2271.36,1,1,2354.72,1502.74,0.3383963792617639
2025-05-01,North,P031,Grocery,757.78,1,1,781.3,493.15,0.3492174509752171
2025-05-01,North,P032,Grocery,0.0,1,1,782.81,527.27,
2025-05-01,North,P035,Grocery,2681.94,2,3,919.125,1713.53,0.36108563204247673
2025-05-01,North,P036,Grocery,939.63,1,1,961.85,643.43,0.31523046305460667
2025-05-01,North,P038,Grocery,1039.78,1,1,1039.78,698.79,0.3279443728481025
2025-05-01,North,P041,Fashion,5198.29,1,2,2697.89,3478.02,0.3309299788969065
2025-05-01,North,P042,Fashion,2703.67,1,1,2773.28,1760.2,0.34895900757119025
2025-05-01,North,P043,Fashion,0.0,1,1,3024.94,2001.69,
2025-05-01,North,P045,Fashion,3258.69,1,1,3353.6,2303.53,0.29311164915963156
2025-05-01,North,P048,Fashion,3482.57,1,1,3616.75,2260.83,0.3508156332823174
2025-05-01,North,P050,Fashion,7560.41,2,3,3916.41,7479.139999999999,0.010749417028970708
2025-05-01,North,P051,Sports,10631.06,1,3,3634.55,6786.58,0.36162715665229994
2025-05-01,North,P052,Sports,3742.96,1,1,3830.29,2570.98,0.31311582277128264
2025-05-01,North,P053,Sports,11384.55,1,3,3882.2,7623.9,0.330329262026167
2025-05-01,North,P057,Sports,4405.09,1,1,4502.34,3133.57,0.2886479050371275
2025-05-01,North,P058,Sports,9514.029999999999,2,2,4916.38,6119.22,0.35682145210809707
2025-05-01,North,P059,Sports,19382.989999999998,2,4,4992.305,12425.3,0.3589585507705467
2025-05-01,North,P060,Sports,14748.63,1,3,4995.64,9448.31,0.35937710824666425
2025-05-01,South,P001,Electronics,13943.23,2,2,14325.55,17437.58,-0.2506126629195676
2025-05-01,South,P003,Electronics,15965.43,1,1,15992.62,10490.21,0.34294221953307874
2025-05-01,South,P004,Electronics,15576.38,1,1,16116.28,9902.41,0.3642675640938395
2025-05-01,South,P005,Electronics,51123.83,1,3,17204.72,33841.51,0.3380482252601184
2025-05-01,South,P006,Electronics,18566.35,1,1,18566.35,12724.91,0.31462511479100624
2025-05-01,South,P007,Electronics,55100.89,1,3,18658.03,36805.72,0.3320303900717393
2025-05-01,South,P011,Home,11927.41,3,4,4130.62,10558.37,0.11478099604188999
2025-05-01,South,P014,Home,4695.75,1,1,4817.64,3267.71,0.30411329393600595
2025-05-01,South,P016,Home,10163.9,1,2,5228.88,6363.2,0.37394110528438884
2025-05-01,South,P019,Home,23287.92,2,4,5912.96,15359.27,0.34046192188911667
2025-05-01,South,P021,Beauty,3258.53,1,2,1687.31,2058.23,0.3683562833547643
2025-05-01,South,P023,Beauty,9092.32,3,5,1878.93,5996.07,0.3405346490224717
2025-05-01,South,P024,Beauty,3818.42,1,2,1949.17,2390.2,0.37403428643260833
2025-05-01,South,P026,Beauty,4120.79,1,2,2105.02,2639.59,0.3594456402777137
2025-05-01,South,P027,Beauty,10490.19,2,5,2168.935,6816.38,0.35021386647906283
2025-05-01,South,P029,Beauty,2245.97,1,1,2286.21,1520.56,0.32298294278196055
2025-05-01,South,P031,Grocery,749.62,1,1,764.45,494.26,0.3406525973159734
2025-05-01,South,P032,Grocery,3120.87,2,4,818.63,2136.87,0.31529669611358374
2025-05-01,South,P033,Grocery,2397.99,1,3,822.61,1519.78,0.36622754890554166
2025-05-01,South,P037,Grocery,2832.51,1,3,966.99,1936.05,0.3164896152175986
2025-05-01,South,P038,Grocery,1999.22,1,2,1026.4,1443.23,0.2781034603495363
2025-05-01,South,P040,Grocery,2164.15,1,2,1111.19,1466.23,0.3224915093685743
2025-05-01,South,P041,Fashion,2637.41,1,1,2715.9,1626.71,0.38321686806374433
2025-05-01,South,P042,Fashion,5455.74,1,2,2840.94,3760.86,0.3106599654675625
2025-05-01,South,P043,Fashion,8438.21,1,3,2929.02,5604.1,0.335866255995051
2025-05-01,South,P044,Fashion,3102.97,1,1,3149.9,2047.71,0.3400806324263528
2025-05-01,South,P046,Fashion,13249.73,2,4,3395.5600000000004,8453.79,0.36196511174189955
2025-05-01,South,P047,Fashion,7081.51,1,2,3648.38,4616.41,0.34810372364086195
2025-05-01,South,P048,Fashion,7139.76,2,2,3597.23,4884.15,0.3159223839456789
2025-05-01,South,P052,Sports,3606.18,1,1,3742.01,2442.57,0.32267108131041705
2025-05-01,South,P057,Sports,9278.84,2,2,4758.09,6034.71,0.3496266774726151
2025-05-01,South,P059,Sports,5086.61,1,1,5136.95,3342.09,0.34296319159518807
2025-05-01,South,P060,Sports,5148.15,1,1,5243.05,3258.99,0.3669590046910055
2025-05-01,West,P001,Electronics,14735.52,1,1,14815.52,10381.04,0.2955090828148582
2025-05-01,West,P003,Electronics,15275.12,2,2,15684.150000000001,20726.559999999998,-0.3568836120436367
2025-05-01,West,P005,Electronics,16722.96,1,1,17048.59,11155.91,0.3328986016829556
2025-05-01,West,P007,Electronics,17523.47,1,1,18291.72,12112.81,0.3087664714808198
2025-05-01,West,P009,Electronics,60737.58,1,3,20570.88,42710.66,0.2968001030004817
2025-05-01,West,P011,Home,32182.370000000003,4,8,4102.9175,20352.39,0.3675919455279397
2025-05-01,West,P014,Home,4678.94,1,1,4815.71,3301.13,0.2944705424732951
2025-05-01,West,P016,Home,9976.35,2,2,5179.5,6344.85,0.3640108857447864
2025-05-01,West,P018,Home,21882.21,2,4,5656.995000000001,14841.970000000001,0.321733499495709
2025-05-01,West,P022,Beauty,3477.1000000000004,2,2,1793.045,2376.3100000000004,0.31658278450432825
2025-05-01,West,P023,Beauty,1813.77,1,1,1849.65,1180.73,0.3490188943471333
2025-05-01,West,P024,Beauty,3907.81,1,2,1982.05,2615.35,0.33073767660147246
2025-05-01,West,P025,Beauty,3984.61,1,2,2035.25,2718.5,0.3177500432915643
2025-05-01,West,P027,Beauty,2125.96,1,1,2198.28,1339.63,0.36987055259741475
2025-05-01,West,P029,Beauty,4744.92,1,2,2387.02,3087.21,0.34936521585190056
2025-05-01,West,P032,Grocery,770.24,1,1,774.03,515.68,0.3304943913585377
2025-05-01,West,P033,Grocery,1582.6,1,2,832.86,984.28,0.3780614179198787
2025-05-01,West,P035,Grocery,927.28,1,1,942.26,604.23,0.3483845224743335
2025-05-01,West,P036,Grocery,914.6,1,1,939.01,646.07,0.29360376120708503
2025-05-01,West,P041,Fashion,2641.03,1,1,2710.42,1724.63,0.3469858350719227
2025-05-01,West,P042,Fashion,5684.28,2,3,2879.3900000000003,5500.6,0.032313679129106834
2025-05-01,West,P044,Fashion,6062.47,1,2,3076.46,3696.5,0.39026502399187135
2025-05-01,West,P050,Fashion,7703.870000000001,2,2,3946.4849999999997,5051.46,0.3442957889995548
2025-05-01,West,P051,Sports,17519.16,4,5,3570.255,11372.330000000002,0.3508632833994323
2025-05-01,West,P052,Sports,26463.760000000002,4,7,3841.0,17520.54,0.3379421518332996
2025-05-01,West,P055,Sports,16752.21,3,4,4347.346666666667,10755.55,0.35796232258310995
2025-05-01,West,P056,Sports,9049.94,1,2,4532.22,5425.69,0.40047226832443095
2025-05-01,West,P057,Sports,4623.64,1,1,4735.88,2807.82,0.3927252121704977
2025-05-01,West,P058,Sports,23293.14,2,5,4776.62,15250.77,0.3452677483585296
2025-05-01,West,P059,Sports,15011.83,1,3,5142.27,9664.63,0.3561990776607516
2025-05-01,West,P060,Sports,14941.44,1,3,5161.12,10191.05,0.31793388053628036
2025-05-02,East,P001,Electronics,14216.32,1,1,14473.96,9648.6,0.32130115247827845
2025-05-02,East,P003,Electronics,15829.08,1,1,15829.08,10080.83,0.363144920614464
2025-05-02,East,P007,Electronics,37389.21,1,2,18847.27,23965.02,0.3590391452507287
2025-05-02,East,P008,Electronics,55947.96,2,3,19252.985,35785.34,0.3603816832642335
2025-05-02,East,P009,Electronics,39640.73,1,2,20222.8,24862.2,0.37281175195310484
2025-05-02,East,P011,Home,0.0,1,3,4129.35,7394.97,
2025-05-02,East,P012,Home,4380.92,1,1,4420.26,2905.8,0.3367146626735936
2025-05-02,East,P015,Home,4879.86,1,1,5076.84,3146.65,0.3551761730869328
2025-05-02,East,P016,Home,0.0,1,1,5241.21,3270.75,
2025-05-02,East,P018,Home,16295.21,1,3,5520.62,10438.36,0.35942157235162964
2025-05-02,East,P021,Beauty,3363.21,2,2,1723.365,2255.1800000000003,0.32945608510916646
2025-05-02,East,P022,Beauty,1775.34,1,1,1821.42,1107.57,0.3761364020412991
2025-05-02,East,P026,Beauty,2062.9,1,1,2109.52,1275.24,0.3818217073052499
2025-05-02,East,P027,Beauty,2258.42,1,1,2267.03,1480.74,0.3443469328114346
2025-05-02,East,P030,Beauty,2390.38,1,1,2462.53,1624.39,0.3204469582242154
2025-05-02,East,P031,Grocery,2948.27,3,4,752.3033333333333,1914.82,0.3505275975402524
2025-05-02,East,P032,Grocery,768.64,1,1,792.41,507.97,0.33913145295587005
2025-05-02,East,P036,Grocery,1829.4699999999998,2,2,940.715,1238.77,0.3228803970548847
2025-05-02,East,P038,Grocery,4059.3999999999996,2,4,1043.205,2627.3,0.35278612602847703
2025-05-02,East,P040,Grocery,1069.91,1,1,1104.82,627.52,0.41348337710648564
2025-05-02,East,P041,Fashion,7775.99,2,3,2665.945,5198.25,0.3314999119083229
