request_id,created_at,insight_id,role,kpi,region,total_latency_ms,sql_latency_ms,analytics_latency_ms,retrieval_latency_ms,llm_latency_ms,model,model_calls,input_tokens,output_tokens,estimated_cost_usd,cache_hit,fallback_used,errors,ecs_band
req_test_999,2026-08-29T12:00:00Z,ins_test_123,ceo,revenue,North,45.2,0.0,32.1,5.0,0.0,deterministic_template,0,0,0,0.0,False,True,0,MEDIUM
req_dc0050f2c76b,2026-08-29T15:57:07.436545+00:00,ins_c68ed6ff590a,ceo,revenue,North,2277.16,0.0,2276.36,0.74,0.03,deterministic_template,0,0,0,0.0,False,True,0,MEDIUM
req_ca3abdd9ca6e,2026-08-29T15:57:09.333414+00:00,ins_dea9943bb87f,ceo,revenue,North,1876.13,0.0,1875.11,0.94,0.05,deterministic_template,0,0,0,0.0,False,True,0,MEDIUM
req_621b85812357,2026-08-29T15:57:11.360371+00:00,ins_0e92d811e69c,ceo,revenue,North,2019.35,0.0,2018.51,0.77,0.05,deterministic_template,0,0,0,0.0,False,True,0,MEDIUM
req_d79fc9f8fab0,2026-08-29T15:57:13.186257+00:00,ins_bd000a86161c,ceo,revenue,North,1817.6,0.0,1816.34,1.11,0.12,deterministic_template,0,0,0,0.0,False,True,0,MEDIUM
req_f2c18f905126,2026-08-29T15:57:15.056562+00:00,ins_e974a6bf1d6a,ceo,revenue,North,1859.73,0.0,1858.54,1.1,0.06,deterministic_template,0,0,0,0.0,False,True,0,MEDIUM
req_2f153ac47992,2026-08-29T15:57:23.886063+00:00,ins_ff6ff38c1e93,ceo,revenue,North,1623.01,0.0,1618.58,0.54,0.03,deterministic_template,0,0,0,0.0,False,True,0,MEDIUM
req_2ec29ac968b7,2026-08-29T15:57:25.696845+00:00,ins_241b981eb3f2,ceo,revenue,North,1801.4,0.0,1800.63,0.72,0.03,deterministic_template,0,0,0,0.0,False,True,0,MEDIUM
req_0a4cfca1e276,2026-08-29T16:44:05.759222+00:00,ins_74fcfdb0f508,ceo,revenue,North,3806.32,0.0,3801.19,0.62,0.03,deterministic_template,0,0,0,0.0,False,True,0,MEDIUM
req_589a19bcdbff,2026-08-29T16:44:10.994842+00:00,ins_2be7d42a8ff2,regional_manager,revenue,North,2255.08,0.0,2254.24,0.78,0.03,deterministic_template,0,0,0,0.0,False,True,0,MEDIUM
req_67ba575e430a,2026-08-29T16:44:16.150807+00:00,ins_530b9ea269d3,regional_manager,revenue,North,2610.25,0.0,2608.26,1.87,0.07,deterministic_template,0,0,0,0.0,False,True,0,MEDIUM
req_d0b3aaba218b,2026-08-29T16:44:23.875515+00:00,ins_f8133f7a1b81,regional_manager,orders,North,5570.5,0.0,5567.99,2.42,0.05,deterministic_template,0,0,0,0.0,False,True,0,HIGH
req_1092fb871f4e,2026-08-29T16:44:24.036122+00:00,ins_de8f650e9bdf,regional_manager,orders,North,4358.27,0.0,4357.45,0.77,0.02,deterministic_template,0,0,0,0.0,False,True,0,HIGH
req_36e7e9f90067,2026-08-29T16:45:09.240615+00:00,ins_fb2e8fb1cb8f,ceo,revenue,North,2554.66,0.0,2553.45,1.15,0.03,deterministic_template,0,0,0,0.0,False,True,0,MEDIUM
req_18498eebde52,2026-08-29T16:45:12.394022+00:00,ins_bb78666f3b55,regional_manager,revenue,North,1593.58,0.0,1589.4,0.46,0.02,deterministic_template,0,0,0,0.0,False,True,0,MEDIUM
req_ec0f76cb4d5f,2026-08-29T16:45:39.573527+00:00,ins_44e37257aca3,analyst,revenue,East,2431.52,0.0,2429.63,1.76,0.08,deterministic_template,0,0,0,0.0,False,True,0,HIGH
req_2b5bb4433381,2026-08-29T16:45:43.477809+00:00,ins_2dd99b155bcf,analyst,revenue,East,2706.99,0.0,2705.23,1.65,0.07,deterministic_template,0,0,0,0.0,False,True,0,HIGH
req_0d0e24377ce7,2026-08-29T16:49:38.627639+00:00,ins_57ed0ab5b61c,analyst,revenue,East,2737.02,0.0,2734.88,1.99,0.1,deterministic_template,0,0,0,0.0,False,True,0,HIGH
req_b8ae87d7abb9,2026-08-29T16:50:42.875507+00:00,ins_2f856fdaf7a5,ceo,revenue,North,1575.6,0.0,1571.07,0.58,0.04,deterministic_template,0,0,0,0.0,False,True,0,MEDIUM
req_3733594296b1,2026-08-29T16:50:45.387354+00:00,ins_a5def24a35e4,ceo,orders,North,2502.3,0.0,2500.43,1.71,0.09,deterministic_template,0,0,0,0.0,False,True,0,HIGH
req_bda2c3a8ac7e,2026-08-29T16:50:47.788928+00:00,ins_34f786207f73,ceo,conversion_rate,North,2388.3,0.0,2387.03,1.2,0.04,deterministic_template,0,0,0,0.0,False,True,0,HIGH
req_3aa7da887073,2026-08-29T16:50:50.181328+00:00,ins_9e94633e14bf,ceo,aov,North,2384.19,0.0,2382.23,1.84,0.07,deterministic_template,0,0,0,0.0,False,True,0,MEDIUM
req_e6e6e9c1ebbe,2026-08-29T16:50:52.246169+00:00,ins_574c2a06b54a,ceo,gross_margin,North,2055.1,0.0,2053.36,1.65,0.05,deterministic_template,0,0,0,0.0,False,True,0,MEDIUM
req_test_999,2026-08-29T12:00:00Z,ins_test_123,ceo,revenue,North,45.2,0.0,32.1,5.0,0.0,deterministic_template,0,0,0,0.0,False,True,0,MEDIUM
req_d874a1fd8966,2026-08-29T16:51:49.630416+00:00,ins_40c55433b011,ceo,revenue,North,1946.54,0.0,1945.27,1.19,0.05,deterministic_template,0,0,0,0.0,False,True,0,MEDIUM
